chrom	start	end	gene	type	HGNC
chr1	631074	632616	"MTCO1P12"	"unprocessed_pseudogene"	"MTCO1P12"
chr1	632325	632413	"ENSG00000278791"	"miRNA"	"ENSG00000278791"
chr1	632757	633438	"MTCO2P12"	"unprocessed_pseudogene"	"MTCO2P12"
chr1	633535	633741	"MTATP8P1"	"unprocessed_pseudogene"	"MTATP8P1"
chr1	633696	634376	"MTATP6P1"	"unprocessed_pseudogene"	"MTATP6P1"
chr1	634376	634922	"MTCO3P12"	"unprocessed_pseudogene"	"MTCO3P12"
chr1	674842	675265	"WBP1LP6"	"processed_pseudogene"	"WBP1LP6"
chr1	685716	686654	"OR4F16"	"protein_coding"	"OR4F16"
chr1	720024	720206	"ENSG00000230021"	"transcribed_processed_pseudogene"	"ENSG00000230021"
chr1	722092	724903	"CICP3"	"processed_pseudogene"	"CICP3"
chr1	725885	778688	"ENSG00000291215"	"lncRNA"	"ENSG00000291215"
chr1	758233	758336	"RNU6-1199P"	"snRNA"	"RNU6-1199P"
chr1	760911	761989	"ENSG00000229905"	"lncRNA"	"ENSG00000229905"
chr1	764723	774280	"ENSG00000228327"	"transcribed_unprocessed_pseudogene"	"ENSG00000228327"
chr1	778747	810065	"LINC01409"	"lncRNA"	"LINC01409"
chr1	781937	782050	"ENSG00000285268"	"transcribed_processed_pseudogene"	"ENSG00000285268"
chr1	800879	817712	"ENSG00000290784"	"lncRNA"	"ENSG00000290784"
chr1	805799	810161	"ENSG00000230092"	"transcribed_unprocessed_pseudogene"	"ENSG00000230092"
chr1	817371	819837	"FAM87B"	"lncRNA"	"FAM87B"
chr1	824228	827539	"LINC00115"	"lncRNA"	"LINC00115"
chr1	825138	859446	"LINC01128"	"lncRNA"	"LINC01128"
chr1	860226	868202	"ENSG00000288531"	"lncRNA"	"ENSG00000288531"
chr1	868071	876903	"FAM41C"	"lncRNA"	"FAM41C"
chr1	873292	874349	"TUBB8P11"	"unprocessed_pseudogene"	"TUBB8P11"
chr1	874529	877234	"ENSG00000283040"	"transcribed_unprocessed_pseudogene"	"ENSG00000283040"
chr1	904834	915976	"ENSG00000272438"	"lncRNA"	"ENSG00000272438"
chr1	911435	914948	"ENSG00000230699"	"lncRNA"	"ENSG00000230699"
chr1	914171	914971	"ENSG00000241180"	"lncRNA"	"ENSG00000241180"
chr1	916865	921016	"LINC02593"	"lncRNA"	"LINC02593"
chr1	923923	944575	"SAMD11"	"protein_coding"	"SAMD11"
chr1	944203	959309	"NOC2L"	"protein_coding"	"NOC2L"
chr1	960584	965719	"KLHL17"	"protein_coding"	"KLHL17"
chr1	966482	975865	"PLEKHN1"	"protein_coding"	"PLEKHN1"
chr1	975198	982117	"PERM1"	"protein_coding"	"PERM1"
chr1	995966	998051	"ENSG00000272512"	"lncRNA"	"ENSG00000272512"
chr1	998962	1000172	"HES4"	"protein_coding"	"HES4"
chr1	1001138	1014540	"ISG15"	"protein_coding"	"ISG15"
chr1	1008076	1008229	"ENSG00000231702"	"processed_pseudogene"	"ENSG00000231702"
chr1	1011997	1013193	"ENSG00000224969"	"lncRNA"	"ENSG00000224969"
chr1	1020120	1056118	"AGRN"	"protein_coding"	"AGRN"
chr1	1055033	1056116	"ENSG00000242590"	"lncRNA"	"ENSG00000242590"
chr1	1059687	1066459	"ENSG00000291156"	"lncRNA"	"ENSG00000291156"
chr1	1062208	1063288	"ENSG00000273443"	"lncRNA"	"ENSG00000273443"
chr1	1063079	1069355	"ENSG00000217801"	"transcribed_unprocessed_pseudogene"	"ENSG00000217801"
chr1	1070967	1074306	"RNF223"	"protein_coding"	"RNF223"
chr1	1081818	1116361	"C1orf159"	"protein_coding"	"C1orf159"
chr1	1097585	1104598	"ENSG00000285812"	"lncRNA"	"ENSG00000285812"
chr1	1137017	1144056	"LINC01342"	"lncRNA"	"LINC01342"
chr1	1167104	1167198	"MIR200B"	"miRNA"	"MIR200B"
chr1	1167863	1167952	"MIR200A"	"miRNA"	"MIR200A"
chr1	1169005	1169087	"MIR429"	"miRNA"	"MIR429"
chr1	1169357	1170343	"ENSG00000272141"	"lncRNA"	"ENSG00000272141"
chr1	1173056	1179555	"TTLL10-AS1"	"lncRNA"	"TTLL10-AS1"
chr1	1173880	1197936	"TTLL10"	"protein_coding"	"TTLL10"
chr1	1203508	1206592	"TNFRSF18"	"protein_coding"	"TNFRSF18"
chr1	1211326	1214153	"TNFRSF4"	"protein_coding"	"TNFRSF4"
chr1	1216931	1232031	"SDF4"	"protein_coding"	"SDF4"
chr1	1232237	1235041	"B3GALT6"	"protein_coding"	"B3GALT6"
chr1	1242446	1246722	"C1QTNF12"	"protein_coding"	"C1QTNF12"
chr1	1249777	1251334	"ENSG00000260179"	"lncRNA"	"ENSG00000260179"
chr1	1253909	1273864	"UBE2J2"	"protein_coding"	"UBE2J2"
chr1	1275223	1280420	"LINC01786"	"lncRNA"	"LINC01786"
chr1	1280436	1292029	"SCNN1D"	"protein_coding"	"SCNN1D"
chr1	1292390	1309609	"ACAP3"	"protein_coding"	"ACAP3"
chr1	1296110	1296170	"MIR6726"	"miRNA"	"MIR6726"
chr1	1308597	1311677	"PUSL1"	"protein_coding"	"PUSL1"
chr1	1311585	1324687	"INTS11"	"protein_coding"	"INTS11"
chr1	1312502	1312566	"MIR6727"	"miRNA"	"MIR6727"
chr1	1317581	1318689	"ENSG00000240731"	"lncRNA"	"ENSG00000240731"
chr1	1324756	1328896	"CPTP"	"protein_coding"	"CPTP"
chr1	1331280	1335314	"TAS1R3"	"protein_coding"	"TAS1R3"
chr1	1335276	1349418	"DVL1"	"protein_coding"	"DVL1"
chr1	1339650	1339708	"MIR6808"	"miRNA"	"MIR6808"
chr1	1352689	1361777	"MXRA8"	"protein_coding"	"MXRA8"
chr1	1373730	1375207	"AURKAIP1"	"protein_coding"	"AURKAIP1"
chr1	1378666	1379032	"NDUFB4P8"	"processed_pseudogene"	"NDUFB4P8"
chr1	1385711	1399335	"CCNL2"	"protein_coding"	"CCNL2"
chr1	1399515	1402046	"MRPL20-AS1"	"lncRNA"	"MRPL20-AS1"
chr1	1401909	1407293	"MRPL20"	"protein_coding"	"MRPL20"
chr1	1405460	1405752	"RN7SL657P"	"misc_RNA"	"RN7SL657P"
chr1	1409096	1410618	"MRPL20-DT"	"lncRNA"	"MRPL20-DT"
chr1	1418420	1421769	"ANKRD65"	"protein_coding"	"ANKRD65"
chr1	1420245	1422691	"ANKRD65-AS1"	"lncRNA"	"ANKRD65-AS1"
chr1	1425871	1430255	"TMEM88B"	"protein_coding"	"TMEM88B"
chr1	1430539	1434573	"LINC01770"	"lncRNA"	"LINC01770"
chr1	1434861	1442882	"VWA1"	"protein_coding"	"VWA1"
chr1	1449689	1470163	"ATAD3C"	"protein_coding"	"ATAD3C"
chr1	1471765	1497848	"ATAD3B"	"protein_coding"	"ATAD3B"
chr1	1503250	1509466	"ENSG00000290916"	"lncRNA"	"ENSG00000290916"
chr1	1503582	1509351	"ENSG00000284740"	"transcribed_unprocessed_pseudogene"	"ENSG00000284740"
chr1	1512162	1534685	"ATAD3A"	"protein_coding"	"ATAD3A"
chr1	1534778	1540624	"TMEM240"	"protein_coding"	"TMEM240"
chr1	1541673	1574863	"SSU72"	"protein_coding"	"SSU72"
chr1	1574102	1577075	"ENSG00000215014"	"lncRNA"	"ENSG00000215014"
chr1	1583510	1583909	"ENSG00000274481"	"processed_pseudogene"	"ENSG00000274481"
chr1	1598012	1600135	"FNDC10"	"protein_coding"	"FNDC10"
chr1	1600314	1602703	"ENSG00000286989"	"lncRNA"	"ENSG00000286989"
chr1	1613758	1615795	"ENSG00000272106"	"lncRNA"	"ENSG00000272106"
chr1	1615454	1630605	"MIB2"	"protein_coding"	"MIB2"
chr1	1632163	1635263	"MMP23B"	"protein_coding"	"MMP23B"
chr1	1635225	1659012	"CDK11B"	"protein_coding"	"CDK11B"
chr1	1659325	1662602	"ENSG00000272004"	"lncRNA"	"ENSG00000272004"
chr1	1659529	1692795	"SLC35E2B"	"protein_coding"	"SLC35E2B"
chr1	1671990	1673411	"ENSG00000293187"	"lncRNA"	"ENSG00000293187"
chr1	1673275	1674397	"ENSG00000269737"	"transcribed_processed_pseudogene"	"ENSG00000269737"
chr1	1699942	1701782	"MMP23A"	"unprocessed_pseudogene"	"MMP23A"
chr1	1702379	1724357	"CDK11A"	"protein_coding"	"CDK11A"
chr1	1702736	1737688	"ENSG00000268575"	"lncRNA"	"ENSG00000268575"
chr1	1724512	1735975	"ENSG00000293188"	"lncRNA"	"ENSG00000293188"
chr1	1724838	1745992	"ENSG00000290854"	"lncRNA"	"ENSG00000290854"
chr1	1734690	1739557	"SLC35E2A"	"transcribed_unprocessed_pseudogene"	"SLC35E2A"
chr1	1735817	1737251	"ENSG00000227775"	"transcribed_processed_pseudogene"	"ENSG00000227775"
chr1	1751232	1780457	"NADK"	"protein_coding"	"NADK"
chr1	1785285	1892292	"GNB1"	"protein_coding"	"GNB1"
chr1	1891223	1892726	"GNB1-DT"	"lncRNA"	"GNB1-DT"
chr1	1915108	1917296	"CALML6"	"protein_coding"	"CALML6"
chr1	1917590	1919279	"TMEM52"	"protein_coding"	"TMEM52"
chr1	1921951	2003837	"CFAP74"	"protein_coding"	"CFAP74"
chr1	2013213	2015639	"ENSG00000233542"	"lncRNA"	"ENSG00000233542"
chr1	2019329	2030758	"GABRD"	"protein_coding"	"GABRD"
chr1	2049203	2050070	"PRKCZ-DT"	"lncRNA"	"PRKCZ-DT"
chr1	2050411	2185395	"PRKCZ"	"protein_coding"	"PRKCZ"
chr1	2141084	2145279	"ENSG00000271806"	"lncRNA"	"ENSG00000271806"
chr1	2181794	2184389	"PRKCZ-AS1"	"lncRNA"	"PRKCZ-AS1"
chr1	2184461	2212720	"FAAP20"	"protein_coding"	"FAAP20"
chr1	2212523	2220738	"ENSG00000234396"	"lncRNA"	"ENSG00000234396"
chr1	2227388	2310213	"SKI"	"protein_coding"	"SKI"
chr1	2315040	2323085	"ENSG00000287356"	"lncRNA"	"ENSG00000287356"
chr1	2321253	2391707	"MORN1"	"protein_coding"	"MORN1"
chr1	2326201	2326693	"ENSG00000272161"	"lncRNA"	"ENSG00000272161"
chr1	2350414	2352820	"ENSG00000292993"	"lncRNA"	"ENSG00000292993"
chr1	2351644	2351857	"ENSG00000269896"	"transcribed_processed_pseudogene"	"ENSG00000269896"
chr1	2363061	2363628	"ENSG00000272420"	"lncRNA"	"ENSG00000272420"
chr1	2391775	2405442	"RER1"	"protein_coding"	"RER1"
chr1	2403964	2413797	"PEX10"	"protein_coding"	"PEX10"
chr1	2425980	2505532	"PLCH2"	"protein_coding"	"PLCH2"
chr1	2492300	2493258	"ENSG00000224387"	"lncRNA"	"ENSG00000224387"
chr1	2493437	2494479	"ENSG00000229393"	"lncRNA"	"ENSG00000229393"
chr1	2508537	2526597	"PANK4"	"protein_coding"	"PANK4"
chr1	2528745	2530263	"HES5"	"protein_coding"	"HES5"
chr1	2530064	2547471	"ENSG00000272449"	"lncRNA"	"ENSG00000272449"
chr1	2549920	2557031	"TNFRSF14-AS1"	"lncRNA"	"TNFRSF14-AS1"
chr1	2555639	2565382	"TNFRSF14"	"protein_coding"	"TNFRSF14"
chr1	2566410	2569888	"ENSG00000225931"	"TEC"	"ENSG00000225931"
chr1	2581560	2584533	"ENSG00000228037"	"lncRNA"	"ENSG00000228037"
chr1	2585610	2586060	"ENSG00000289610"	"lncRNA"	"ENSG00000289610"
chr1	2586491	2591469	"PRXL2B"	"protein_coding"	"PRXL2B"
chr1	2590639	2633016	"MMEL1"	"protein_coding"	"MMEL1"
chr1	2632568	2636620	"MMEL1-AS1"	"lncRNA"	"MMEL1-AS1"
chr1	2636986	2801693	"TTC34"	"protein_coding"	"TTC34"
chr1	2768091	2784733	"ENSG00000285945"	"lncRNA"	"ENSG00000285945"
chr1	2773603	2776473	"ENSG00000283259"	"lncRNA"	"ENSG00000283259"
chr1	2811850	2812692	"ENSG00000233234"	"lncRNA"	"ENSG00000233234"
chr1	2814056	2817767	"ENSG00000287396"	"lncRNA"	"ENSG00000287396"
chr1	2814432	2814998	"ENSG00000231630"	"lncRNA"	"ENSG00000231630"
chr1	2960658	2968707	"ENSG00000284745"	"lncRNA"	"ENSG00000284745"
chr1	3021467	3022903	"ACTRT2"	"protein_coding"	"ACTRT2"
chr1	3059611	3069091	"PRDM16-DT"	"lncRNA"	"PRDM16-DT"
chr1	3069168	3438621	"PRDM16"	"protein_coding"	"PRDM16"
chr1	3127975	3128035	"MIR4251"	"miRNA"	"MIR4251"
chr1	3132927	3133709	"ENSG00000226286"	"lncRNA"	"ENSG00000226286"
chr1	3205988	3208664	"ENSG00000279839"	"TEC"	"ENSG00000279839"
chr1	3306636	3310096	"ENSG00000272235"	"lncRNA"	"ENSG00000272235"
chr1	3313052	3323149	"ENSG00000287828"	"lncRNA"	"ENSG00000287828"
chr1	3367815	3373928	"ENSG00000286518"	"lncRNA"	"ENSG00000286518"
chr1	3454665	3481113	"ARHGEF16"	"protein_coding"	"ARHGEF16"
chr1	3487246	3487627	"ENSG00000272088"	"lncRNA"	"ENSG00000272088"
chr1	3487951	3611508	"MEGF6"	"protein_coding"	"MEGF6"
chr1	3560695	3560790	"MIR551A"	"miRNA"	"MIR551A"
chr1	3622857	3624786	"ENSG00000238260"	"lncRNA"	"ENSG00000238260"
chr1	3625015	3630127	"TPRG1L"	"protein_coding"	"TPRG1L"
chr1	3630767	3652761	"WRAP73"	"protein_coding"	"WRAP73"
chr1	3652516	3736201	"TP73"	"protein_coding"	"TP73"
chr1	3658938	3668772	"TP73-AS3"	"lncRNA"	"TP73-AS3"
chr1	3712200	3714298	"TP73-AS2"	"lncRNA"	"TP73-AS2"
chr1	3735511	3747373	"TP73-AS1"	"lncRNA"	"TP73-AS1"
chr1	3736943	3737103	"ENSG00000276189"	"misc_RNA"	"ENSG00000276189"
chr1	3738434	3746742	"TP73-AS1"	"transcribed_unitary_pseudogene"	"TP73-AS1"
chr1	3746460	3771645	"CCDC27"	"protein_coding"	"CCDC27"
chr1	3772749	3775982	"SMIM1"	"protein_coding"	"SMIM1"
chr1	3778559	3796498	"LRRC47"	"protein_coding"	"LRRC47"
chr1	3782815	3783111	"RN7SL574P"	"misc_RNA"	"RN7SL574P"
chr1	3785008	3785538	"ENSG00000272153"	"lncRNA"	"ENSG00000272153"
chr1	3812086	3857396	"CEP104"	"protein_coding"	"CEP104"
chr1	3857267	3885429	"DFFB"	"protein_coding"	"DFFB"
chr1	3889125	3900293	"C1orf174"	"protein_coding"	"C1orf174"
chr1	3900347	3917225	"LINC01134"	"lncRNA"	"LINC01134"
chr1	3940486	3955262	"LINC01346"	"lncRNA"	"LINC01346"
chr1	3944547	3949024	"LINC01345"	"lncRNA"	"LINC01345"
chr1	3976133	4012704	"LINC02780"	"lncRNA"	"LINC02780"
chr1	4012921	4019508	"ENSG00000284703"	"lncRNA"	"ENSG00000284703"
chr1	4175528	4175899	"EEF1DP6"	"processed_pseudogene"	"EEF1DP6"
chr1	4412027	4424689	"LINC01777"	"lncRNA"	"LINC01777"
chr1	4479131	4484375	"ENSG00000284694"	"lncRNA"	"ENSG00000284694"
chr1	4551735	4552145	"ENSG00000227169"	"lncRNA"	"ENSG00000227169"
chr1	4571481	4594016	"LINC01646"	"lncRNA"	"LINC01646"
chr1	4654609	4792534	"AJAP1"	"protein_coding"	"AJAP1"
chr1	4730211	4734992	"ENSG00000287586"	"lncRNA"	"ENSG00000287586"
chr1	4963954	4973298	"ENSG00000284739"	"lncRNA"	"ENSG00000284739"
chr1	4973381	4981568	"LINC02781"	"lncRNA"	"LINC02781"
chr1	5086459	5090899	"LINC02782"	"lncRNA"	"LINC02782"
chr1	5301928	5307394	"ENSG00000284616"	"lncRNA"	"ENSG00000284616"
chr1	5478736	5493057	"ENSG00000284692"	"lncRNA"	"ENSG00000284692"
chr1	5480787	5482028	"ENSG00000284666"	"lncRNA"	"ENSG00000284666"
chr1	5492978	5494674	"ENSG00000260972"	"lncRNA"	"ENSG00000260972"
chr1	5554747	5554881	"ENSG00000283356"	"unprocessed_pseudogene"	"ENSG00000283356"
chr1	5561709	5668295	"ENSG00000236948"	"lncRNA"	"ENSG00000236948"
chr1	5564071	5564143	"ENSG00000264341"	"miRNA"	"ENSG00000264341"
chr1	5733358	5771453	"ENSG00000289893"	"lncRNA"	"ENSG00000289893"
chr1	5862672	5862741	"MIR4689"	"miRNA"	"MIR4689"
chr1	5862811	5992473	"NPHP4"	"protein_coding"	"NPHP4"
chr1	5990927	6101193	"KCNAB2"	"protein_coding"	"KCNAB2"
chr1	6101787	6180321	"CHD5"	"protein_coding"	"CHD5"
chr1	6159430	6197757	"ENSG00000285629"	"protein_coding"	"ENSG00000285629"
chr1	6185020	6209389	"RPL22"	"protein_coding"	"RPL22"
chr1	6204840	6205780	"RNF207-AS1"	"lncRNA"	"RNF207-AS1"
chr1	6205475	6221299	"RNF207"	"protein_coding"	"RNF207"
chr1	6221193	6235972	"ICMT"	"protein_coding"	"ICMT"
chr1	6234692	6239444	"ICMT-DT"	"lncRNA"	"ICMT-DT"
chr1	6244179	6245578	"HES3"	"protein_coding"	"HES3"
chr1	6247353	6261098	"GPR153"	"protein_coding"	"GPR153"
chr1	6264269	6393767	"ACOT7"	"protein_coding"	"ACOT7"
chr1	6393555	6394391	"ENSG00000271746"	"lncRNA"	"ENSG00000271746"
chr1	6412418	6424670	"HES2"	"protein_coding"	"HES2"
chr1	6424776	6461367	"ESPN"	"protein_coding"	"ESPN"
chr1	6429834	6429896	"MIR4252"	"miRNA"	"MIR4252"
chr1	6443034	6447006	"ENSG00000231868"	"lncRNA"	"ENSG00000231868"
chr1	6460786	6466175	"TNFRSF25"	"protein_coding"	"TNFRSF25"
chr1	6467122	6520074	"PLEKHG5"	"protein_coding"	"PLEKHG5"
chr1	6521347	6554513	"NOL9"	"protein_coding"	"NOL9"
chr1	6540854	6540964	"RNU6-731P"	"snRNA"	"RNU6-731P"
chr1	6547905	6548619	"ENSG00000229519"	"processed_pseudogene"	"ENSG00000229519"
chr1	6555307	6579755	"TAS1R1"	"protein_coding"	"TAS1R1"
chr1	6579994	6589280	"ZBTB48"	"protein_coding"	"ZBTB48"
chr1	6590724	6614607	"KLHL21"	"protein_coding"	"KLHL21"
chr1	6613731	6624030	"PHF13"	"protein_coding"	"PHF13"
chr1	6624868	6635586	"THAP3"	"protein_coding"	"THAP3"
chr1	6634168	6701924	"DNAJC11"	"protein_coding"	"DNAJC11"
chr1	6724637	6730012	"LINC01672"	"lncRNA"	"LINC01672"
chr1	6767954	6770038	"ENSG00000284744"	"lncRNA"	"ENSG00000284744"
chr1	6783892	6784843	"CAMTA1-DT"	"lncRNA"	"CAMTA1-DT"
chr1	6785454	7769706	"CAMTA1"	"protein_coding"	"CAMTA1"
chr1	6834333	6834618	"ENSG00000227950"	"processed_pseudogene"	"ENSG00000227950"
chr1	7008376	7014279	"CAMTA1-AS3"	"lncRNA"	"CAMTA1-AS3"
chr1	7219360	7219524	"RNU1-8P"	"snRNA"	"RNU1-8P"
chr1	7368942	7370270	"CAMTA1-IT1"	"lncRNA"	"CAMTA1-IT1"
chr1	7382487	7389754	"CAMTA1-AS2"	"lncRNA"	"CAMTA1-AS2"
chr1	7441096	7441554	"CAMTA1-AS1"	"lncRNA"	"CAMTA1-AS1"
chr1	7693124	7694844	"ENSG00000270171"	"lncRNA"	"ENSG00000270171"
chr1	7698303	7698872	"ENSG00000270035"	"lncRNA"	"ENSG00000270035"
chr1	7700704	7700970	"ENSG00000269978"	"lncRNA"	"ENSG00000269978"
chr1	7771296	7781432	"VAMP3"	"protein_coding"	"VAMP3"
chr1	7776383	7776775	"ENSG00000269925"	"lncRNA"	"ENSG00000269925"
chr1	7784291	7845177	"PER3"	"protein_coding"	"PER3"
chr1	7810242	7827342	"ENSG00000236266"	"lncRNA"	"ENSG00000236266"
chr1	7843083	7853512	"UTS2"	"protein_coding"	"UTS2"
chr1	7915871	7943165	"TNFRSF9"	"protein_coding"	"TNFRSF9"
chr1	7942372	7942726	"ENSG00000270330"	"processed_pseudogene"	"ENSG00000270330"
chr1	7954291	7985505	"PARK7"	"protein_coding"	"PARK7"
chr1	7982881	7982983	"Y_RNA"	"misc_RNA"	"Y_RNA"
chr1	7991134	8005312	"ENSG00000284747"	"lncRNA"	"ENSG00000284747"
chr1	7998187	7999934	"ENSG00000284716"	"lncRNA"	"ENSG00000284716"
chr1	8004404	8026309	"ERRFI1"	"protein_coding"	"ERRFI1"
chr1	8026738	8122702	"ERRFI1-DT"	"lncRNA"	"ERRFI1-DT"
chr1	8057245	8058463	"RPL7AP18"	"processed_pseudogene"	"RPL7AP18"
chr1	8189824	8192770	"ENSG00000229305"	"processed_pseudogene"	"ENSG00000229305"
chr1	8191692	8194926	"ENSG00000288816"	"lncRNA"	"ENSG00000288816"
chr1	8201518	8215210	"LINC01714"	"lncRNA"	"LINC01714"
chr1	8206434	8206597	"RNU1-7P"	"snRNA"	"RNU1-7P"
chr1	8218190	8220529	"ENSG00000233645"	"lncRNA"	"ENSG00000233645"
chr1	8292157	8292263	"RNU6-991P"	"snRNA"	"RNU6-991P"
chr1	8318114	8344167	"SLC45A1"	"protein_coding"	"SLC45A1"
chr1	8328067	8328179	"Y_RNA"	"misc_RNA"	"Y_RNA"
chr1	8352397	8848921	"RERE"	"protein_coding"	"RERE"
chr1	8424645	8435013	"RERE-AS1"	"lncRNA"	"RERE-AS1"
chr1	8511795	8511919	"ENSG00000221083"	"snoRNA"	"ENSG00000221083"
chr1	8512653	8513021	"ENSG00000270282"	"processed_pseudogene"	"ENSG00000270282"
chr1	8750430	8751087	"RPL7P11"	"processed_pseudogene"	"RPL7P11"
chr1	8786211	8786913	"RPL7P7"	"processed_pseudogene"	"RPL7P7"
chr1	8796571	8796673	"Y_RNA"	"misc_RNA"	"Y_RNA"
chr1	8798475	8799506	"ENSG00000226545"	"unprocessed_pseudogene"	"ENSG00000226545"
chr1	8805860	8807051	"ENSG00000228423"	"lncRNA"	"ENSG00000228423"
chr1	8831007	8831375	"RPL23AP19"	"processed_pseudogene"	"RPL23AP19"
chr1	8861000	8879190	"ENO1"	"protein_coding"	"ENO1"
chr1	8866502	8866590	"MIR6728"	"miRNA"	"MIR6728"
chr1	8878835	8879894	"ENO1-AS1"	"lncRNA"	"ENO1-AS1"
chr1	8883427	8883533	"RNU6-304P"	"snRNA"	"RNU6-304P"
chr1	8893409	8894151	"HMGN2P17"	"processed_pseudogene"	"HMGN2P17"
chr1	8907393	8907744	"ENSG00000232208"	"processed_pseudogene"	"ENSG00000232208"
chr1	8909742	8909904	"ENSG00000232663"	"processed_pseudogene"	"ENSG00000232663"
chr1	8945867	8975092	"CA6"	"protein_coding"	"CA6"
chr1	8970490	8971244	"ENSG00000290109"	"lncRNA"	"ENSG00000290109"
chr1	8979576	8979874	"RN7SL451P"	"misc_RNA"	"RN7SL451P"
chr1	9002973	9026423	"SLC2A7"	"protein_coding"	"SLC2A7"
chr1	9035106	9088478	"SLC2A5"	"protein_coding"	"SLC2A5"
chr1	9082696	9082879	"ENSG00000252404"	"scaRNA"	"ENSG00000252404"
chr1	9100305	9129102	"GPR157"	"protein_coding"	"GPR157"
chr1	9148011	9198906	"MIR34AHG"	"lncRNA"	"MIR34AHG"
chr1	9151668	9151777	"MIR34A"	"miRNA"	"MIR34A"
chr1	9162322	9162945	"ENSG00000289914"	"lncRNA"	"ENSG00000289914"
chr1	9182004	9196284	"LNCTAM34A"	"lncRNA"	"LNCTAM34A"
chr1	9234774	9271337	"H6PD"	"protein_coding"	"H6PD"
chr1	9292894	9369532	"SPSB1"	"protein_coding"	"SPSB1"
chr1	9421098	9422862	"ENSG00000284652"	"lncRNA"	"ENSG00000284652"
chr1	9425094	9440564	"LINC02606"	"lncRNA"	"LINC02606"
chr1	9437669	9437778	"RNA5SP40"	"rRNA_pseudogene"	"RNA5SP40"
chr1	9501092	9503471	"ENSG00000235263"	"lncRNA"	"ENSG00000235263"
chr1	9539465	9585173	"SLC25A33"	"protein_coding"	"SLC25A33"
chr1	9576427	9576985	"ENSG00000231181"	"processed_pseudogene"	"ENSG00000231181"
chr1	9588911	9614877	"TMEM201"	"protein_coding"	"TMEM201"
chr1	9629889	9729114	"PIK3CD"	"protein_coding"	"PIK3CD"
chr1	9652610	9654586	"PIK3CD-AS1"	"lncRNA"	"PIK3CD-AS1"
chr1	9660828	9662626	"ENSG00000233268"	"processed_pseudogene"	"ENSG00000233268"
chr1	9672405	9687583	"PIK3CD-AS2"	"lncRNA"	"PIK3CD-AS2"
